población,área,densidad,provincia,habitantes (2020),área (km^2),densidad (hab./km^2),cantones,fundación,bandera,capital,habitantes (2010),número
05,12,08,Azuay,881 394,8189,"107,63",15,25 de junio de 1824,"/wiki/Archivo:Flag_of_Cuenca,_Ecuador.svg",Cuenca,329 928,03
16,20,14,Bolívar,209 933,4148,"50,61",7,23 de abril de 1884,/wiki/Archivo:Flag_of_Guaranda.svg,Guaranda,23 874,20
15,23,13,Cañar,281 396,3669,"76,70",7,3 de noviembre de 1880,/wiki/Archivo:Flag_of_Azogues.svg,Azogues,33 848,18
18,21,15,Carchi,186 869,3790,"49,31",6,19 de noviembre de 1880,/wiki/Archivo:Flag_of_Tulc%C3%A1n.svg,Tulcán,53 558,14
09,16,10,Chimborazo,524 004,5999,"87,35",10,25 de junio de 1824,/wiki/Archivo:Bandera_de_Riobamba.svg,Riobamba,146 324,10
12,15,12,Cotopaxi,488 716,6085,"80,31",7,1 de abril de 1851,/wiki/Archivo:BanderaLatacunga.svg,Latacunga,63 842,13
06,17,05,El Oro,715 751,5879,"121,75",14,23 de abril de 1884,/wiki/Archivo:Machala_Flag.svg,Machala,231 260,05
08,07,17,Esmeraldas,643 654,14 893,"43,22",7,20 de noviembre de 1847,/wiki/Archivo:Bandera_Provincia_Esmeraldas.svg,Esmeraldas,154 035,09
24,13,23,Galápagos,33 042,8010,"4,13",3,18 de febrero de 1973,,Puerto Baquerizo Moreno,6672,24
01,06,02,Guayas,4 387 434,15 927,"275,47",25,25 de junio de 1824,/wiki/Archivo:Bandera_de_Guayaquil.svg,Guayaquil,2 278 691,01
13,18,09,Imbabura,476 257,4611,"103,29",6,25 de junio de 1824,/wiki/Archivo:Flag_of_Ibarra.svg,Ibarra,131 856,11
10,09,16,Loja,521 154,11 100,"46,95",16,25 de junio de 1824,/wiki/Archivo:Flag_of_Loja.svg,Loja,170 280,07
04,14,04,Los Ríos,921 763,7100,"129,83",13,6 de octubre de 1860,/wiki/Archivo:Flag_of_Babahoyo.svg,Babahoyo,90 191,12
03,04,11,Manabí,1 562 079,19 427,"80,41",22,25 de junio de 1824,/wiki/Archivo:Flag_of_Portoviejo.svg,Portoviejo,206 682,06
19,02,21,Morona Santiago,196 535,25 690,"8,23",12,10 de noviembre de 1953,/wiki/Archivo:Flag_of_Macas.svg,Macas,18 984,22
21,08,20,Napo,133 705,12 476,"10,72",5,10 de noviembre de 1959,/wiki/Archivo:Flag_of_Tena.svg,Tena,23 307,21
20,03,22,Orellana,161 338,21 691,"7,44",4,30 de julio de 1998,/wiki/Archivo:Flag_of_Puerto_Francisco_de_Orellana.svg,Pto. Francisco de Orellana,40 730,16
23,01,24,Pastaza,114 202,29 068,"3,93",4,10 de noviembre de 1959,/wiki/Archivo:Flag_of_Puyo.svg,Puyo,33 557,19
02,11,01,Pichincha,3 228 233,9692,"333,08",8,25 de junio de 1824,/wiki/Archivo:Flag_of_Quito.svg,Quito,1 607 734,02
14,22,07,Santa Elena,401 178,3696,"108,54",3,7 de noviembre de 2007,/wiki/Archivo:Flag_of_Santa_Elena.svg,Santa Elena,39 681,17
11,19,06,Santo Domingo de los Tsáchilas,458 580,4180,"109,71",2,6 de noviembre de 2007,/wiki/Archivo:Flag_of_Santo_Domingo_de_los_Colorados.svg,Santo Domingo,270 875,04
17,05,18,Sucumbíos,230 503,18 612,"12,38",7,13 de febrero de 1989,/wiki/Archivo:Bandera_Lago_Agrio.svg,Nueva Loja,48 562,15
07,24,03,Tungurahua,590 600,3222,"183,30",9,3 de julio de 1860,/wiki/Archivo:Bandera_Provincia_Tungurahua.svg,Ambato,165 185,08
22,10,19,Zamora Chinchipe,120 416,10 556,"11,41",9,10 de noviembre de 1953,/wiki/Archivo:Bandera_de_Zamora_(Ecuador).svg,Zamora,12 386,23
